longitude,latitude,crs,lit,name,osm,light:method,light:direction,height,support
11.0737642,49.4511311,EPSG:4326,no,,n827183435,,,,
11.0887122,49.4660975,EPSG:4326,yes,Friedenstraße,n830230551,,,,
11.0643791,49.4733085,EPSG:4326,yes,Thon,n836055689,,,,
11.0325592,49.5229007,EPSG:4326,yes,Boxdorf Nord,n844555034,,,,
11.0327992,49.5234477,EPSG:4326,no,Boxdorf Nord,n844583402,,,,
11.0970543,49.4485684,EPSG:4326,yes,Dürrenhof,n848765779,,,,
11.0275859,49.4415783,EPSG:4326,yes,Züricher Straße,n870370672,,,,
11.0095403,49.4407995,EPSG:4326,yes,Kleinreuth bei Schweinau,n958095544,,,,
11.0151163,49.4411249,EPSG:4326,yes,Clarsbacher Straße,n958123558,,,,
11.0208232,49.4409198,EPSG:4326,yes,Regelsbacher Straße,n958135427,,,,
11.0240106,49.441347,EPSG:4326,yes,Lehrberger Straße,n958140277,,,,
11.0339171,49.4408932,EPSG:4326,yes,Haeselerstraße,n958153286,,,,
11.0053669,49.4424172,EPSG:4326,yes,Äußere Buttendorfer Str.,n958179802,,,,
11.0051347,49.442547,EPSG:4326,yes,Äußere Buttendorfer Str.,n958179878,,,,
11.0121681,49.444017,EPSG:4326,yes,Flachslander Straße,n958182125,,,,
11.0049912,49.440463,EPSG:4326,no,Rothenburger/Sigmundstraße,n958195426,,,,
11.0086863,49.4455349,EPSG:4326,yes,Virnsberger Straße,n958211085,,,,
11.0089545,49.4461278,EPSG:4326,yes,Virnsberger Straße,n958215954,,,,
11.0079305,49.4458074,EPSG:4326,yes,Virnsberger Straße,n958223445,,,,
11.0120898,49.4441829,EPSG:4326,yes,Flachslander Straße,n958423295,,,,
11.0128173,49.4495352,EPSG:4326,yes,Lenkersheimer Straße,n958428701,,,,
11.0154955,49.4533841,EPSG:4326,yes,Leyh Kirche,n958432554,,,,
11.0295942,49.4504432,EPSG:4326,yes,Scheinfelder Straße,n958473244,,,,
11.0299234,49.4500561,EPSG:4326,yes,Scheinfelder Straße,n958473323,,,,
11.0032646,49.4501822,EPSG:4326,no,Höfener Spange,n963691846,,,,
11.0542834,49.4838695,EPSG:4326,,,n1072821250,,,,
11.0541105,49.4838241,EPSG:4326,,,n1072821292,,,,
11.0545403,49.4836867,EPSG:4326,,,n1072821345,,,,
11.0536762,49.4835862,EPSG:4326,,,n1072821377,,,,
11.0539272,49.4837695,EPSG:4326,,,n1072821381,,,,
11.0546552,49.4834725,EPSG:4326,,,n1072821399,,,,
11.0537348,49.4837194,EPSG:4326,,,n1072821424,,,,
11.0555701,49.4785663,EPSG:4326,no,Kieler Straße,n1119873831,,,,
11.0832693,49.4372011,EPSG:4326,no,,n1158295516,,,,
11.1059314,49.3831265,EPSG:4326,no,Bayernlinie,n1311181833,,,,
11.0542803,49.4341772,EPSG:4326,yes,Waldaustraße,n1403569552,,,,
11.0539904,49.4342229,EPSG:4326,yes,Waldaustraße,n1403569555,,,,
11.060176,49.4351742,EPSG:4326,yes,Sandreuthstraße,n1403569559,,,,
11.0583955,49.4348612,EPSG:4326,yes,Sandreuthstraße,n1403573564,,,,
11.0639633,49.4361543,EPSG:4326,yes,Dr.-Luppe-Platz,n1403573572,,,,
11.0642076,49.4362235,EPSG:4326,yes,Dr.-Luppe-Platz,n1404975755,,,,
11.1629712,49.4662577,EPSG:4326,yes,Brandstraße,n1405404988,,,,
11.1185605,49.4552546,EPSG:4326,no,Business Tower,n1411539827,,,,
11.1182748,49.4377145,EPSG:4326,no,Dutzendteich Bahnhof,n1437601257,,,,
11.0958374,49.4312265,EPSG:4326,yes,Hiroshimaplatz,n1437606362,,,,
11.098439,49.454415,EPSG:4326,yes,Bauvereinstraße,n1488968719,,,,
11.0954888,49.454143,EPSG:4326,yes,Wöhrd,n1490641646,,,,
11.1466112,49.3987071,EPSG:4326,yes,Imbuschstraße,n1497098430,,,,
11.1471569,49.3987066,EPSG:4326,yes,Imbuschstraße,n1497098434,,,,
11.1864878,49.4187295,EPSG:4326,yes,Anzengruberstraße,n1503743230,,,,
11.1851667,49.4188343,EPSG:4326,yes,Anzengruberstraße,n1503743245,,,,
11.2551592,49.4353831,EPSG:4326,yes,Brunn Ost,n1507266178,,,,
11.2556239,49.4353423,EPSG:4326,yes,Brunn Ost,n1507266180,,,,
11.0892935,49.4677914,EPSG:4326,no,Tellstraße,n1515618305,,,,
11.0882571,49.4661114,EPSG:4326,yes,Friedenstraße,n1515635738,,,,
11.0822539,49.4606946,EPSG:4326,yes,Maxfeldstraße,n1516260652,,,,
11.0516495,49.5199505,EPSG:4326,no,Neunhof,n1523320143,,,,
11.0335614,49.4679372,EPSG:4326,yes,Brettergartenstraße,n1523990113,,,,
11.0311338,49.4689812,EPSG:4326,no,Frauentaler Weg,n1523990124,,,,
11.0605124,49.4597763,EPSG:4326,yes,St. Johannisfriedhof,n1527179732,,,,
11.0448175,49.5024569,EPSG:4326,yes,Buch Nord,n1528792333,,,,
11.0445952,49.5029311,EPSG:4326,yes,Buch Nord,n1528792335,,,,
11.0444558,49.5034848,EPSG:4326,yes,Buch Nord,n1528792347,,,,
11.0452382,49.5032393,EPSG:4326,yes,Buch Nord,n1528792355,,,,
11.0812312,49.455873,EPSG:4326,yes,Egidienplatz,n1528865643,,,,
11.091502,49.4552618,EPSG:4326,yes,Harmoniestraße,n1528865649,,,,
11.0819213,49.4584853,EPSG:4326,yes,Maxtor,n1528865661,,,,
11.0282159,49.4696833,EPSG:4326,yes,Schniegling,n1530718214,,,,
11.0315636,49.4415388,EPSG:4326,no,Haeselerstraße,n1532036163,,,,
11.026631,49.4415923,EPSG:4326,yes,Züricher Straße,n1532036164,,,,
11.0889298,49.4442836,EPSG:4326,no,Scheurlstraße,n1539302065,,,,
11.1288349,49.4103315,EPSG:4326,yes,Zuckmayerweg,n1552059011,,,,
11.1736454,49.3965631,EPSG:4326,no,Moorenbrunn,n1552378794,,,,
11.1703247,49.396115,EPSG:4326,no,Streubuck,n1552521436,,,,
11.181964,49.4266227,EPSG:4326,yes,Flachsröste,n1555683335,,,,
11.0982936,49.4458104,EPSG:4326,yes,Stephanstraße,n1569345186,,,,
11.1010133,49.4385173,EPSG:4326,yes,Platz der Opfer des Faschismus,n1569352004,,,,
11.1920577,49.4240655,EPSG:4326,yes,Am Bauernfeld,n1574015904,,,,
11.1925399,49.4244697,EPSG:4326,no,Am Bauernfeld,n1574015911,,,,
11.1924969,49.4218381,EPSG:4326,no,Pellerschloss,n1574016052,,,,
11.1272024,49.4889026,EPSG:4326,yes,Nordostpark,n1574546250,,,,
11.136156,49.4174331,EPSG:4326,yes,Hans-Fallada-Straße,n1575247964,,,,
11.1317016,49.4209931,EPSG:4326,yes,Poststraße,n1575247971,,,,
11.0866343,49.4524661,EPSG:4326,no,Wöhrder Wiese,n1580726276,,,,
11.1184303,49.4561003,EPSG:4326,yes,Business Tower,n1580737711,,,,
11.1221864,49.4523108,EPSG:4326,no,Gleißhammerstraße,n1580737716,,,,
11.1214723,49.4524533,EPSG:4326,yes,Gleißhammerstraße,n1580737728,,,,
11.1365386,49.4468357,EPSG:4326,yes,Akademie der bildenden Künste,n1580741403,,,,
11.1287433,49.445238,EPSG:4326,yes,Bingstraße,n1580741413,,,,
11.1282912,49.4456493,EPSG:4326,yes,Bingstraße,n1580741414,,,,
11.1264029,49.4486965,EPSG:4326,yes,Eckenstraße,n1580741418,,,,
11.1300873,49.4489542,EPSG:4326,yes,Fallrohrstraße,n1580741424,,,,
11.127232,49.439436,EPSG:4326,no,Ayrerstraße,n1580750753,,,,
11.1321451,49.4325274,EPSG:4326,yes,Hans-Kalb-Straße,n1580750765,,,,
11.1208868,49.4428397,EPSG:4326,yes,Marienbader Straße,n1580750778,,,,
11.1216442,49.4394846,EPSG:4326,yes,Schedelstraße,n1580750792,,,,
11.1219034,49.4395072,EPSG:4326,yes,Schedelstraße,n1580750796,,,,
11.1329263,49.434296,EPSG:4326,yes,Sportanlage FCN,n1580750802,,,,
11.1312862,49.4379208,EPSG:4326,no,Valznerweiher,n1580750807,,,,
11.1200325,49.4372872,EPSG:4326,yes,Waldlust,n1580750821,,,,
11.1238542,49.4415207,EPSG:4326,yes,Zerzabelshof Mitte,n1580750825,,,,
11.1240564,49.4423585,EPSG:4326,yes,Zerzabelshof Mitte,n1580750826,,,,
11.1474479,49.414589,EPSG:4326,yes,Brieger Straße,n1581856737,,,,
11.1472489,49.41476,EPSG:4326,yes,Brieger Straße,n1581856743,,,,
11.1377022,49.4085355,EPSG:4326,yes,Groß-Strehlitzer Straße,n1581856756,,,,
11.1480933,49.4095893,EPSG:4326,yes,Hirschberger Straße,n1581856766,,,,
11.1510698,49.4071096,EPSG:4326,no,Jauerstraße,n1581856792,,,,
11.1389687,49.4149165,EPSG:4326,yes,Kafkastraße,n1581856802,,,,
11.1488706,49.4139814,EPSG:4326,yes,Klinikum Süd,n1581856807,,,,
11.1434967,49.4123442,EPSG:4326,yes,Langwasser Bad,n1581856814,,,,
11.1015437,49.4460948,EPSG:4326,yes,Cramergasse,n1582352574,,,,
11.0737663,49.4542482,EPSG:4326,yes,Weintraubengasse,n1582413078,,,,
11.0617964,49.4668943,EPSG:4326,no,Lerchenbühlstraße,n1583866632,,,,
11.0610614,49.4671075,EPSG:4326,yes,Lerchenbühlstraße,n1583866633,,,,
11.1157413,49.403353,EPSG:4326,yes,Harnischschlag,n1585094534,,,,
11.1314286,49.4043218,EPSG:4326,yes,Langwasser Mitte,n1585094566,,,,
11.1335748,49.4048419,EPSG:4326,yes,Langwasser Mitte,n1585094583,,,,
11.1354774,49.4004055,EPSG:4326,yes,Gemeinschaftshaus,n1585094822,,,,
11.0467952,49.4080562,EPSG:4326,no,Bahnhof Eibach / Hafenstraße,n1585109211,,,,
11.0730832,49.3852238,EPSG:4326,yes,Königshof,n1585167621,,,,
11.0671705,49.3791692,EPSG:4326,yes,Propsteistraße,n1585167622,,,,
