"ID","NAME","IATA","ICAO","LATITUDE","LONGITUDE","ALTITUDE","TIMEZONE","DST","TZDBTIME","AIRPORT_TYPE","SOURCE","CITY_ID"
3938,"Khon Kaen Airport","KKC","VTUK",16.466600418099997,102.783996582,670,7,"U","Asia/Bangkok","airport","OurAirports",5809
3939,"Sukhothai Airport","THS","VTPO",17.238000869750977,99.81819915771484,179,7,"U","Asia/Bangkok","airport","OurAirports",1965
3940,"Ngurah Rai (Bali) International Airport","DPS","WADD",-8.7481698989868,115.16699981689,14,8,"N","Asia/Makassar","airport","OurAirports",6093
3941,"Eleftherios Venizelos International Airport","ATH","LGAV",37.9364013672,23.9444999695,308,2,"E","Europe/Athens","airport","OurAirports",4707
3942,"Chubu Centrair International Airport","NGO","RJGG",34.8583984375,136.80499267578125,15,9,"U","Asia/Tokyo","airport","OurAirports",375
3943,"Kobe Airport","UKB","RJBE",34.6328010559082,135.2239990234375,22,9,"U","Asia/Tokyo","airport","OurAirports",4076
3944,"Pullman Moscow Regional Airport","PUW","KPUW",46.7439,-117.110001,2556,-8,"A","America/Los_Angeles","airport","OurAirports",2876
3945,"Lewiston Nez Perce County Airport","LWS","KLWS",46.3745002746582,-117.01499938964844,1442,-8,"A","America/Los_Angeles","airport","OurAirports",7254
3946,"Elmira Corning Regional Airport","ELM","KELM",42.1599006652832,-76.8916015625,954,-5,"A","America/New_York","airport","OurAirports",6906
3947,"Ithaca Tompkins Regional Airport","ITH","KITH",42.49100112915039,-76.4583969116211,1099,-5,"A","America/New_York","airport","OurAirports",7133
3948,"Monterey Peninsula Airport","MRY","KMRY",36.58700180053711,-121.84300231933594,257,-8,"A","America/Los_Angeles","airport","OurAirports",2940
3949,"Santa Barbara Municipal Airport","SBA","KSBA",34.42620087,-119.8399963,13,-8,"A","America/Los_Angeles","airport","OurAirports",3306
3950,"Daytona Beach International Airport","DAB","KDAB",29.179899,-81.058098,34,-5,"A","America/New_York","airport","OurAirports",6835
3952,"Liepāja International Airport","LPX","EVLA",56.51750183105469,21.096900939941406,16,2,"E","Europe/Riga","airport","OurAirports",4767
3622,"Greater Rochester International Airport","ROC","KROC",43.118900299072266,-77.67240142822266,559,-5,"A","America/New_York","airport","OurAirports",3062
3623,"Patrick Air Force Base","COF","KCOF",28.2348995209,-80.6100997925,8,-5,"A","America/New_York","airport","OurAirports",6774
3624,"Teterboro Airport","TEB","KTEB",40.85010147089999,-74.060798645,9,-5,"A","America/New_York","airport","OurAirports",3081
3625,"Ellsworth Air Force Base","RCA","KRCA",44.14500046,-103.1039963,3276,-7,"A","America/Denver","airport","OurAirports",3136
3626,"Raleigh Durham International Airport","RDU","KRDU",35.877601623535156,-78.7874984741211,435,-5,"A","America/New_York","airport","OurAirports",3321
3627,"James M Cox Dayton International Airport","DAY","KDAY",39.902400970458984,-84.21939849853516,1009,-5,"A","America/New_York","airport","OurAirports",6834
3628,"Kenai Municipal Airport","ENA","PAEN",60.57310104370117,-151.2449951171875,99,-9,"A","America/Anchorage","airport","OurAirports",7168
3629,"Mc Alester Regional Airport","MLC","KMLC",34.882401,-95.783501,770,-6,"A","America/Chicago","airport","OurAirports",3030
3630,"Niagara Falls International Airport","IAG","KIAG",43.1072998046875,-78.94619750976562,589,-5,"A","America/New_York","airport","OurAirports",3295
3631,"Coulter Field","CFD","KCFD",30.715700149499998,-96.3313980103,367,-6,"A","America/Chicago","airport","OurAirports",6678
3632,"Wright AAF (Fort Stewart)/Midcoast Regional Airport","LIY","KLHW",31.889099,-81.562303,45,-5,"A","America/New_York","airport","OurAirports",2832
3633,"Newport News Williamsburg International Airport","PHF","KPHF",37.13190079,-76.49299622,42,-5,"A","America/New_York","airport","OurAirports",3250
3634,"Esler Regional Airport","ESF","KESF",31.3948993683,-92.2957992554,112,-6,"A","America/Chicago","airport","OurAirports",6538
3635,"Altus Air Force Base","LTS","KLTS",34.667098999,-99.2667007446,1382,-6,"A","America/Chicago","airport","OurAirports",6547
3636,"Tucson International Airport","TUS","KTUS",32.1161003112793,-110.94100189208984,2643,-7,"N","America/Phoenix","airport","OurAirports",2818
3637,"Minot Air Force Base","MIB","KMIB",48.4156,-101.358002,1667,-6,"A","America/Chicago","airport","OurAirports",2730
3638,"Beale Air Force Base","BAB","KBAB",39.136100769,-121.43699646,113,-8,"A","America/Los_Angeles","airport","OurAirports",3099
4250,"Eagle County Regional Airport","EGE","KEGE",39.64260101,-106.9179993,6548,-7,"A","America/Denver","airport","OurAirports",2721
4252,"Stokmarknes Skagen Airport","SKN","ENSK",68.578826904297,15.033416748047,11,1,"E","Europe/Oslo","airport","OurAirports",1080
4253,"Cuyahoga County Airport","CGF","KCGF",41.5651016235,-81.4863967896,879,-5,"A","America/New_York","airport","OurAirports",3348
4254,"Mansfield Lahm Regional Airport","MFD","KMFD",40.82139968869999,-82.5166015625,1297,-5,"A","America/New_York","airport","OurAirports",3028
4255,"Columbus Metropolitan Airport","CSG","KCSG",32.516300201416016,-84.93890380859375,397,-5,"A","America/New_York","airport","OurAirports",6789
4256,"Lawton Fort Sill Regional Airport","LAW","KLAW",34.5676994324,-98.4166030884,1110,-6,"A","America/Chicago","airport","OurAirports",7247
4257,"Northern Colorado Regional Airport","FNL","KFNL",40.451804,-105.011,5016,-7,"A","America/Denver","airport","OurAirports",6951
4261,"Flagstaff Pulliam Airport","FLG","KFLG",35.13850021,-111.6709976,7014,-7,"N","America/Phoenix","airport","OurAirports",6940
4262,"Lake Tahoe Airport","TVL","KTVL",38.89390182495117,-119.99500274658203,6264,-8,"A","America/Los_Angeles","airport","OurAirports",3349
4263,"Joslin Field Magic Valley Regional Airport","TWF","KTWF",42.4818,-114.487999,4154,-7,"A","America/Denver","airport","OurAirports",3167
4264,"Monaco","MCM","",43.73333333,7.41666666,0,1,"E","Europe/Monaco","airport","User",1048
4265,"Martha's Vineyard Airport","MVY","KMVY",41.3931007385,-70.6143035889,67,-5,"A","America/New_York","airport","OurAirports",3358
4268,"Concord Municipal Airport","CON","KCON",43.20270157,-71.50229645,342,-5,"A","America/New_York","airport","OurAirports",6792
4270,"Groton New London Airport","GON","KGON",41.330101013183594,-72.04509735107422,9,-5,"A","America/New_York","airport","OurAirports",7042
5482,"Attawapiskat Airport","YAT","CYAT",52.9275016784668,-82.43190002441406,31,-5,"A","America/Toronto","airport","OurAirports",4376
5483,"Lac Du Bonnet Airport","","CYAX",50.2943992615,-96.0100021362,850,-6,"A","America/Winnipeg","airport","OurAirports",4566
5484,"Uranium City Airport","YBE","CYBE",59.5614013671875,-108.48100280761719,1044,-6,"N","America/Regina","airport","OurAirports",824
5485,"Lourdes de Blanc Sablon Airport","YBX","CYBX",51.443599700899995,-57.185298919699996,121,-4,"A","America/Blanc-Sablon","airport","OurAirports",4577
5486,"Cartwright Airport","YRF","CYCA",53.68280029296875,-57.041900634765625,40,-4,"A","America/Halifax","airport","OurAirports",4413
5487,"Chesterfield Inlet Airport","YCS","CYCS",63.346900939899996,-90.73110198970001,32,-6,"A","America/Winnipeg","airport","OurAirports",4422
5488,"Nain Airport","YDP","CYDP",56.549198150634766,-61.680301666259766,22,-4,"A","America/Halifax","airport","OurAirports",663
5489,"Fort Severn Airport","YER","CYER",56.01890182495117,-87.67610168457031,48,-5,"A","America/Toronto","airport","OurAirports",4484
5490,"Fort Albany Airport","YFA","CYFA",52.20140075683594,-81.6968994140625,48,-5,"A","America/Toronto","airport","OurAirports",4472
5491,"Fort Hope Airport","YFH","CYFH",51.5619010925293,-87.90779876708984,899,-5,"A","America/Toronto","airport","OurAirports",4476
5492,"Makkovik Airport","YMN","CYFT",55.076900482177734,-59.1864013671875,234,-4,"A","America/Halifax","airport","OurAirports",709
5493,"Texada Gillies Bay Airport","YGB","CYGB",49.69419860839844,-124.51799774169922,326,-8,"A","America/Vancouver","airport","OurAirports",679
5494,"Gods Lake Narrows Airport","YGO","CYGO",54.55889892578125,-94.49140167236328,617,-6,"A","America/Winnipeg","airport","OurAirports",4500
5495,"Igloolik Airport","YGT","CYGT",69.3647003174,-81.8161010742,174,-5,"A","America/Toronto","airport","OurAirports",4529
5496,"Kuujjuarapik Airport","YGW","CYGW",55.281898498535156,-77.76529693603516,34,-5,"A","America/Toronto","airport","OurAirports",4559
5497,"Gillam Airport","YGX","CYGX",56.35749816894531,-94.71060180664062,476,-6,"A","America/Winnipeg","airport","OurAirports",4496
5498,"Grise Fiord Airport","YGZ","CYGZ",76.4261016846,-82.90920257570001,146,-5,"A","America/Toronto","airport","OurAirports",4508
5499,"Quaqtaq Airport","YQC","CYHA",61.0463981628418,-69.6177978515625,103,-5,"A","America/Toronto","airport","OurAirports",693
3953,"Riga International Airport","RIX","EVRA",56.92359924316406,23.971099853515625,36,2,"E","Europe/Riga","airport","OurAirports",993
3954,"Šiauliai International Airport","SQQ","EYSA",55.89390182495117,23.395000457763672,443,2,"E","Europe/Vilnius","airport","OurAirports",2307
3955,"Barysiai Airport","HLJ","EYSB",56.07059860229492,23.5580997467041,270,2,"E","Europe/Vilnius","airport","OurAirports",6125
3956,"Kaunas International Airport","KUN","EYKA",54.96390151977539,24.084800720214844,256,2,"E","Europe/Vilnius","airport","OurAirports",6126
3957,"S. Darius and S. Girėnas Airfield","","EYKS",54.879799,23.8815,246,2,"E","Europe/Vilnius","airport","OurAirports",6126
3958,"Palanga International Airport","PLQ","EYPA",55.973201751708984,21.093900680541992,33,2,"E","Europe/Vilnius","airport","OurAirports",2304
3959,"Vilnius International Airport","VNO","EYVI",54.634102,25.285801,648,2,"E","Europe/Vilnius","airport","OurAirports",2305
3960,"Panevėžys Air Base","PNV","EYPP",55.729400634765625,24.460800170898438,197,2,"E","Europe/Vilnius","airport","OurAirports",2308
3962,"Erebuni Airport","","UDYE",40.122100830099996,44.465000152600005,2948,4,"E","Asia/Yerevan","airport","OurAirports",1347
3963,"Stepanavan Airport","","UDLS",41.048500061,44.337200164799995,4836,4,"E","Asia/Yerevan","airport","OurAirports",1348
3964,"Zvartnots International Airport","EVN","UDYZ",40.1473007202,44.3959007263,2838,4,"E","Asia/Yerevan","airport","OurAirports",1347
3965,"Gyumri Shirak Airport","LWN","UDSG",40.7504005432,43.859298706100006,5000,4,"E","Asia/Yerevan","airport","OurAirports",5116
3966,"Assab International Airport","ASA","HHSB",13.071800231933594,42.64500045776367,46,3,"U","Africa/Asmera","airport","OurAirports",5214
3967,"Asmara International Airport","ASM","HHAS",15.291899681091309,38.910701751708984,7661,3,"U","Africa/Asmera","airport","OurAirports",5213
3968,"Massawa International Airport","MSW","HHMS",15.670000076293945,39.37009811401367,194,3,"U","Africa/Asmera","airport","OurAirports",1451
3969,"Yasser Arafat International Airport","GZA","LVGZ",31.24640083313,34.276100158691,320,2,"U","Asia/Gaza","airport","OurAirports",6134
3971,"Batumi International Airport","BUS","UGSB",41.6102981567,41.5997009277,105,4,"N","Asia/Tbilisi","airport","OurAirports",5243
3972,"Kopitnari Airport","KUT","UGKO",42.176700592,42.4826011658,223,4,"N","Asia/Tbilisi","airport","OurAirports",5244
3639,"Greater Kankakee Airport","IKK","KIKK",41.07139968869999,-87.8462982178,630,-6,"A","America/Chicago","airport","OurAirports",7160
3640,"Seymour Johnson Air Force Base","GSB","KGSB",35.33940125,-77.96060181,109,-5,"A","America/New_York","airport","OurAirports",7013
3641,"Theodore Francis Green State Airport","PVD","KPVD",41.732601,-71.420403,55,-5,"A","America/New_York","airport","OurAirports",3132
